Conference,Subfield,Paper
SAC22,World Wide Web/Information systems applications,Incremental communication patterns in blockchain online social media
SAC22,Information systems applications,D-FEND: a diffusion-based fake news detection framework for news articles related to COVID-19
SAC22,World Wide Web/Information systems applications/Information retrieval,Group oriented trust-aware location recommendation for location-based social networks
SAC22,Information retrieval/World Wide Web,Predicting the category of customers' next product to buy in web shops
SAC22,World Wide Web/Information storage systems,Could jamstack be the future of web applications architecture?: an empirical study
SAC22,World Wide Web/Information systems applications,Knowledge graph enhanced multi-task learning between reviews and ratings for movie recommendation
SAC22,World Wide Web/Information systems applications,Generalized graph pattern discovery in linked data with data properties and a domain ontology
SAC22,World Wide Web/Information retrieval,EABlock: a declarative entity alignment block for knowledge graph creation pipelines
ICMR22,Information retrieval,Multiple Biological Granularities Network for Person Re-Identification
ICMR22,Information retrieval,TriReID: Towards Multi-Modal Person Re-Identification via Descriptive Fusion Model
ICMR22,Information retrieval,Pluggable Weakly-Supervised Cross-View Learning for Accurate Vehicle Re-Identification
ICMR22,Information retrieval,An Effective Two-way Metapath Encoder over Heterogeneous Information Network for Recommendation
ICMR22,Information retrieval,Multi-Modal Contrastive Pre-training for Recommendation
ICMR22,Information retrieval,Flexible Order Aware Sequential Recommendation
ICMR22,World Wide Web/Information systems applications,Sequential Intention-aware Recommender based on User Interaction Graph
ICMR22,Information retrieval,TransHash: Transformer-based Hamming Hashing for Efficient Image Retrieval
ICMR22,Information retrieval,Relevance-based Margin for Contrastively-trained Video Retrieval Models
ICMR22,Information retrieval,CLIP4Hashing: Unsupervised Deep Hashing for Cross-Modal Video-Text Retrieval
ICMR22,Information retrieval,Cross-Modal Retrieval between Event-Dense Text and Image
ICMR22,Information retrieval,Learning Hierarchical Semantic Correspondences for Cross-Modal Image-Text Retrieval
ICMR22,Information retrieval,Nearest Neighbor Search with Compact Codes: A Decoder Perspective
ICMR22,Information retrieval,Cross-lingual Adaptation for Recipe Retrieval with Mixup
ICMR22,Information retrieval,Dual-Channel Localization Networks for Moment Retrieval with Natural Language
ICMR22,Information retrieval,Joint Modality Synergy and Spatio-temporal Cue Purification for Moment Localization
ICMR22,Information retrieval,Fashion Image Search via Anchor-Free Detector
ICMR22,Information systems applications,Accelerated Sign Hunter: A Sign-based Black-box Attack via Branch-Prune Strategy and Stabilized Hierarchical Search
ICMR22,Information retrieval,GIO: A Timbre-informed Approach for Pitch Tracking in Highly Noisy Environments
